2020-11-20 16:53:57,143 - DEBUG: [DeviceList]: dict_keys([])
2020-11-20 16:55:30,192 - INFO: [UDP]发送第60包数据到('192.168.1.104', 6009)
2020-11-20 16:55:30,194 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:30,678 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:30,680 - INFO: [UDP]发送第61包数据到('192.168.1.104', 6009)
2020-11-20 16:55:30,681 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:30,801 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:31,168 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:31,173 - INFO: [UDP]发送第62包数据到('192.168.1.104', 6009)
2020-11-20 16:55:31,176 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:31,663 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:31,667 - INFO: [UDP]发送第63包数据到('192.168.1.104', 6009)
2020-11-20 16:55:31,670 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:32,155 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:32,158 - INFO: [UDP]发送第64包数据到('192.168.1.104', 6009)
2020-11-20 16:55:32,160 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:32,432 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:32,649 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:32,655 - INFO: [UDP]发送第65包数据到('192.168.1.104', 6009)
2020-11-20 16:55:32,659 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:33,146 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:33,150 - INFO: [UDP]发送第66包数据到('192.168.1.104', 6009)
2020-11-20 16:55:33,154 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:33,643 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:33,647 - INFO: [UDP]发送第67包数据到('192.168.1.104', 6009)
2020-11-20 16:55:33,650 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:34,137 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:34,140 - INFO: [UDP]发送第68包数据到('192.168.1.104', 6009)
2020-11-20 16:55:34,144 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:34,629 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:34,632 - INFO: [UDP]发送第69包数据到('192.168.1.104', 6009)
2020-11-20 16:55:34,635 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:35,118 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:35,121 - INFO: [UDP]发送第70包数据到('192.168.1.104', 6009)
2020-11-20 16:55:35,124 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:35,610 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:35,616 - INFO: [UDP]发送第71包数据到('192.168.1.104', 6009)
2020-11-20 16:55:35,618 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:35,779 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:36,104 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:36,108 - INFO: [UDP]发送第72包数据到('192.168.1.104', 6009)
2020-11-20 16:55:36,112 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:36,597 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:36,600 - INFO: [UDP]发送第73包数据到('192.168.1.104', 6009)
2020-11-20 16:55:36,604 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:37,089 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:37,092 - INFO: [UDP]发送第74包数据到('192.168.1.104', 6009)
2020-11-20 16:55:37,094 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:37,578 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:37,583 - INFO: [UDP]发送第75包数据到('192.168.1.104', 6009)
2020-11-20 16:55:37,586 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:38,070 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:38,073 - INFO: [UDP]发送第76包数据到('192.168.1.104', 6009)
2020-11-20 16:55:38,076 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:38,559 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:38,561 - INFO: [UDP]发送第77包数据到('192.168.1.104', 6009)
2020-11-20 16:55:38,564 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:38,753 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:39,053 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:39,057 - INFO: [UDP]发送第78包数据到('192.168.1.104', 6009)
2020-11-20 16:55:39,060 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:39,547 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:39,551 - INFO: [UDP]发送第79包数据到('192.168.1.104', 6009)
2020-11-20 16:55:39,554 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:40,032 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:40,035 - INFO: [UDP]发送第80包数据到('192.168.1.104', 6009)
2020-11-20 16:55:40,038 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:40,524 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:40,526 - INFO: [UDP]发送第81包数据到('192.168.1.104', 6009)
2020-11-20 16:55:40,529 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:41,017 - INFO: [UDP]接收到数据包请求来自('192.168.1.104', 6009)
2020-11-20 16:55:41,020 - INFO: [UDP]发送第82包数据到('192.168.1.104', 6009)
2020-11-20 16:55:41,022 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:45,802 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:46,359 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:47,440 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:50,788 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:53,763 - DEBUG: [DeviceList]: [('192.168.1.104', 6009)]
2020-11-20 16:55:58,870 - INFO: [UDP]接收到升级成功回复来自('192.168.1.104', 6009)
2020-11-20 16:56:00,833 - DEBUG: [DeviceList]: []
2020-11-20 16:56:01,369 - DEBUG: [DeviceList]: []
2020-11-20 16:56:02,445 - DEBUG: [DeviceList]: []
2020-11-20 16:56:02,771 - DEBUG: [DeviceList]: []
2020-11-20 16:56:03,784 - DEBUG: [DeviceList]: []
2020-11-20 16:56:04,760 - DEBUG: [DeviceList]: []
2020-11-20 16:56:04,796 - DEBUG: [DeviceList]: []
2020-11-20 16:56:05,762 - DEBUG: [DeviceList]: []
2020-11-20 16:56:05,787 - DEBUG: [DeviceList]: []
2020-11-20 16:56:06,772 - DEBUG: [DeviceList]: []
2020-11-20 16:56:06,820 - DEBUG: [DeviceList]: []
2020-11-20 16:56:07,834 - DEBUG: [DeviceList]: []
2020-11-20 16:56:08,495 - DEBUG: [DeviceList]: []
2020-11-20 16:56:08,761 - DEBUG: [DeviceList]: []
2020-11-20 16:56:08,850 - DEBUG: [DeviceList]: []
2020-11-20 16:56:09,865 - DEBUG: [DeviceList]: []
2020-11-20 16:56:10,881 - DEBUG: [DeviceList]: []
2020-11-20 16:56:11,897 - DEBUG: [DeviceList]: []
2020-11-20 16:56:12,926 - DEBUG: [DeviceList]: []
2020-11-20 16:56:13,915 - DEBUG: [DeviceList]: []
2020-11-20 16:56:14,930 - DEBUG: [DeviceList]: []
2020-11-20 16:56:15,805 - DEBUG: [DeviceList]: []
2020-11-20 16:56:15,947 - DEBUG: [DeviceList]: []
2020-11-20 16:56:16,359 - DEBUG: [DeviceList]: []
2020-11-20 16:56:16,966 - DEBUG: [DeviceList]: []
2020-11-20 16:56:17,439 - DEBUG: [DeviceList]: []
2020-11-20 16:56:17,986 - DEBUG: [DeviceList]: []
2020-11-20 16:56:19,001 - DEBUG: [DeviceList]: []
2020-11-20 16:56:20,013 - DEBUG: [DeviceList]: []
2020-11-20 16:56:20,784 - DEBUG: [DeviceList]: []
2020-11-20 16:56:21,020 - DEBUG: [DeviceList]: []
2020-11-20 16:56:22,036 - DEBUG: [DeviceList]: []
2020-11-20 16:56:23,052 - DEBUG: [DeviceList]: []
2020-11-20 16:56:23,762 - DEBUG: [DeviceList]: []
2020-11-20 16:56:24,070 - DEBUG: [DeviceList]: []
2020-11-20 16:56:25,087 - DEBUG: [DeviceList]: []
2020-11-20 16:56:28,126 - DEBUG: [DeviceList]: []
2020-11-20 16:56:29,134 - DEBUG: [DeviceList]: []
2020-11-20 16:56:30,810 - DEBUG: [DeviceList]: []
2020-11-20 16:56:31,361 - DEBUG: [DeviceList]: []
2020-11-20 16:56:32,131 - INFO: [UDP]接收到升级请求来自('192.168.1.104', 6009)
